date_in,pick,date_out,dst
1995-03-26 00:00:00,1995-03-26 18:00:00,1995-03-31 13:00:00,-107
1995-09-26 06:00:00,1995-09-27 21:00:00,1995-09-29 19:00:00,-108
1995-10-18 08:00:00,1995-10-19 00:00:00,1995-10-26 19:00:00,-127
1996-10-17 13:00:00,1996-10-23 05:00:00,1996-10-27 18:00:00,-105
1997-04-21 07:00:00,1997-04-22 00:00:00,1997-04-23 13:00:00,-107
1997-05-14 08:00:00,1997-05-15 13:00:00,1997-05-18 23:00:00,-115
1997-10-08 01:00:00,1997-10-11 04:00:00,1997-10-15 05:00:00,-130
1997-11-06 02:00:00,1997-11-07 05:00:00,1997-11-13 19:00:00,-110
1997-11-21 13:00:00,1997-11-23 07:00:00,1997-11-27 07:00:00,-108
1998-02-16 17:00:00,1998-02-18 01:00:00,1998-02-22 07:00:00,-100
1998-03-10 02:00:00,1998-03-10 21:00:00,1998-03-17 17:00:00,-116
1998-05-01 23:00:00,1998-05-04 06:00:00,1998-05-15 23:00:00,-205
1998-06-25 15:00:00,1998-06-26 05:00:00,1998-06-27 20:00:00,-101
1998-08-05 17:00:00,1998-08-06 12:00:00,1998-08-10 15:00:00,-138
1998-08-26 05:00:00,1998-08-27 10:00:00,1998-09-05 01:00:00,-155
1998-09-22 14:00:00,1998-09-25 10:00:00,1998-09-30 11:00:00,-207
1998-10-18 04:00:00,1998-10-19 16:00:00,1998-10-27 14:00:00,-112
1998-11-05 08:00:00,1998-11-08 07:00:00,1998-11-12 18:00:00,-149
1998-11-12 19:00:00,1998-11-13 22:00:00,1998-11-19 05:00:00,-131
1999-01-12 15:00:00,1999-01-14 00:00:00,1999-01-18 08:00:00,-112
1999-02-17 00:00:00,1999-02-18 10:00:00,1999-02-22 07:00:00,-123
1999-09-22 13:00:00,1999-09-23 00:00:00,1999-09-26 08:00:00,-173
1999-10-21 08:00:00,1999-10-22 07:00:00,1999-10-31 17:00:00,-237
1999-11-06 16:00:00,1999-11-13 23:00:00,1999-11-20 21:00:00,-106
2000-02-11 03:00:00,2000-02-12 12:00:00,2000-02-17 08:00:00,-135
2000-04-01 12:00:00,2000-04-07 01:00:00,2000-04-12 20:00:00,-292
2000-05-23 15:00:00,2000-05-24 09:00:00,2000-05-28 11:00:00,-147
2000-07-14 17:00:00,2000-07-16 01:00:00,2000-07-19 16:00:00,-300
2000-08-09 23:00:00,2000-08-12 10:00:00,2000-08-19 14:00:00,-234
2000-09-15 14:00:00,2000-09-18 00:00:00,2000-09-22 18:00:00,-201
2000-10-02 06:00:00,2000-10-05 14:00:00,2000-10-09 15:00:00,-181
2000-10-12 18:00:00,2000-10-14 15:00:00,2000-10-17 16:00:00,-106
2000-10-28 10:00:00,2000-10-29 04:00:00,2000-11-01 18:00:00,-126
2000-11-03 19:00:00,2000-11-06 22:00:00,2000-11-09 17:00:00,-159
2000-11-26 13:00:00,2000-11-29 14:00:00,2000-12-03 10:00:00,-119
2001-03-18 17:00:00,2001-03-20 14:00:00,2001-03-27 10:00:00,-149
2001-03-30 16:00:00,2001-03-31 09:00:00,2001-04-04 14:00:00,-387
2001-04-06 18:00:00,2001-04-12 00:00:00,2001-04-17 13:00:00,-271
2001-04-17 14:00:00,2001-04-18 07:00:00,2001-04-21 18:00:00,-114
2001-04-21 19:00:00,2001-04-22 16:00:00,2001-04-25 20:00:00,-102
2001-08-17 08:00:00,2001-08-17 22:00:00,2001-08-19 18:00:00,-105
2001-09-25 13:00:00,2001-10-03 15:00:00,2001-10-06 00:00:00,-166
2001-10-18 16:00:00,2001-10-21 22:00:00,2001-10-25 14:00:00,-187
2001-10-26 21:00:00,2001-10-28 12:00:00,2001-11-04 02:00:00,-157
2001-11-05 12:00:00,2001-11-06 07:00:00,2001-11-15 09:00:00,-292
2001-11-22 01:00:00,2001-11-24 17:00:00,2001-11-28 21:00:00,-221
2002-03-23 08:00:00,2002-03-24 10:00:00,2002-03-26 01:00:00,-100
2002-04-16 18:00:00,2002-04-20 09:00:00,2002-04-26 20:00:00,-149
2002-05-10 17:00:00,2002-05-11 20:00:00,2002-05-13 18:00:00,-110
2002-05-23 02:00:00,2002-05-23 18:00:00,2002-05-26 09:00:00,-109
2002-07-30 16:00:00,2002-08-02 06:00:00,2002-08-07 20:00:00,-102
2002-08-18 20:00:00,2002-08-21 07:00:00,2002-08-23 18:00:00,-106
2002-09-03 14:00:00,2002-09-08 01:00:00,2002-09-16 12:00:00,-181
2002-09-29 09:00:00,2002-10-01 17:00:00,2002-10-22 02:00:00,-176
2002-11-17 11:00:00,2002-11-21 11:00:00,2002-12-06 17:00:00,-128
2003-05-26 21:00:00,2003-05-30 00:00:00,2003-06-06 11:00:00,-144
2003-06-16 02:00:00,2003-06-18 10:00:00,2003-06-26 20:00:00,-141
2003-07-10 15:00:00,2003-07-12 06:00:00,2003-07-14 16:00:00,-105
